ID,Name,Price,Quantity
1,Laptop,899.99,20
2,Smartphone,699.99,50
3,Tablet,349.99,25
4,Monitor,199.99,30
5,Keyboard,49.99,100
6,Mouse,19.99,150
7,Bluetooth Speaker,79.99,75
8,Headphones,29.99,90
9,External Hard Drive,89.99,60
10,USB Flash Drive,14.99,200
11,Smart Watch,199.99,40
12,Webcam,59.99,70
13,Wireless Router,119.99,50
14,Printer,299.99,15
15,Smart TV,999.99,10
16,SSD,139.99,45
17,HDMI Cable,11.99,150
18,Smart Light Bulb,24.99,80
19,Computer Speakers,39.99,65
20,Gaming Controller,59.99,55
21,Gaming Console,499.99,15
22,Earbuds,19.99,100
23,USB-C Adapter,9.99,120
24,Wireless Charger,29.99,40
25,Laptop Cooling Pad,25.99,30
26,Graphics Card,399.99,10
27,Processor,299.99,5
28,Power Bank,34.99,50
29,MicroSD Card,24.99,90
30,Stylus Pen,14.99,70
